Cluster;2;3;4;5;6;8;10;15;20;25;30;35;40;45;50
k-mean score pca1;-696567679518838.625000000;-413714409211398.250000000;-295486239365904.750000000;-223523238971262.312500000;-173618663606383.187500000;-129560443922867.968750000;-101075746685544.062500000;-65855765524176.078125000;-48529079931020.507812500;-38735725554194.125000000;-32342775859557.996093750;-27378907138288.148437500;-23549282070899.382812500;-20979885794090.800781250;-18683631142012.984375000
gmm score pca1;-25.972132168;-25.561799135;-25.459450105;-25.345491375;-25.292595218;-25.248304879;-25.167410595;-24.888312409;-24.785450297;-24.823039094;-24.730879370;-24.709504990;-24.713914762;-24.651533878;-24.652052314
k-mean score pca2;-12400.888624321;-9895.289056028;-8736.032241438;-7975.581204667;-7233.211136807;-6297.690503116;-5655.508956728;-4545.097197492;-3855.288360902;-3375.946501724;-3034.850900681;-2783.586438475;-2517.067585860;-2343.303207828;-2198.963744338
gmm score pca2;-2.611220468;-2.580367331;-2.578865986;-2.580784066;-2.568196494;-2.568072620;-2.565816289;-2.562285064;-2.556371481;-2.555113691;-2.552056972;-2.549710592;-2.547532136;-2.542488587;-2.539251964
k-mean score ica1;-10.294837174;-9.627233752;-9.035527856;-8.435625046;-8.021628671;-7.086331132;-6.315077114;-4.985889979;-4.420935185;-3.974698021;-3.627372028;-3.378608871;-3.247607426;-3.095925842;-2.981664142
gmm score ica1;47.825799009;48.890941081;49.104974256;49.587361587;49.733028563;50.001481242;50.927897910;51.172651738;51.261683510;51.386278092;51.560071892;51.648369107;51.693602844;51.756125398;51.818320322
k-mean score ica2;-2.480841171;-2.145227119;-1.888062622;-1.726993780;-1.579440545;-1.374013150;-1.240723869;-1.002659306;-0.850070925;-0.731270765;-0.654863291;-0.596032076;-0.546277854;-0.503512019;-0.469518823
gmm score ica2;10.074940353;10.101325758;10.081976736;10.111903628;10.107453375;10.110374663;10.117753026;10.120027721;10.127376054;10.129085096;10.132943985;10.135958359;10.138280649;10.140062462;10.141167339
