iterations,fitness,time,fevals
0,0.0313400194988,0.001799111,465
10,0.0401317767171,0.00353097400001,840
20,0.0453685555282,0.00525848700001,1198
30,0.0498271253669,0.00694053100001,1571
40,0.0479462953873,0.010475858,1938
50,0.0625997758352,0.012228766,2300
60,0.058171166669,0.013859736,2659
70,0.0645604436102,0.018256999,3029
80,0.0647030913606,0.020424953,3400
90,0.0791183254647,0.032114824,3763
100,0.0713307108925,0.033607198,4121
110,0.0758352309452,0.038482937,4487
120,0.0845030645584,0.039882946,4854
130,0.0843166489665,0.041267084,5230
140,0.0761504256105,0.042665224,5597
150,0.0798569981424,0.045447938,5966
160,0.0822496620484,0.046854621,6331
170,0.0822496620484,0.048618073,6695
180,0.0837057691768,0.050246966,7064
190,0.0819971787221,0.057346993,7433
200,0.0799074426937,0.064551139,7810
210,0.0882726648507,0.066265799,8176
220,0.0854433812602,0.067692161,8544
230,0.0860316424576,0.069173305,8915
240,0.0845141046947,0.070721745,9289
250,0.0791002364092,0.082248335,9658
260,0.0833887879663,0.084003362,10028
270,0.0836807972652,0.086001135,10392
280,0.0796138725397,0.08767729,10757
290,0.0871001811382,0.089117691,11123
300,0.0881793414483,0.090962924,11492
310,0.0902597311327,0.108362604,11853
320,0.0851046569652,0.110178294,12218
330,0.0904684708214,0.111583583,12583
340,0.0930852534506,0.11723586,12952
350,0.0930353573747,0.119712546,13324
360,0.0924918404039,0.127651468,13690
370,0.0912329535396,0.128904854,14064
380,0.0910188176833,0.130268255,14433
390,0.0902805591485,0.131825714,14796
400,0.0853174025888,0.133179438,15156
410,0.0887185545634,0.138870863,15522
420,0.0903598424738,0.140196264,15891
430,0.0897919293845,0.141635997,16257
440,0.0855296060761,0.143074792,16628
450,0.0855296060761,0.14913437,16992
460,0.0860544418022,0.150504311,17351
470,0.0804447659279,0.159786729,17721
480,0.0869125539184,0.161275264,18083
490,0.0890133084901,0.162868185,18436
500,0.0870350651003,0.164602953,18798
510,0.0910199143995,0.166112226,19163
520,0.0867619873246,0.169082222,19522
530,0.0900682833057,0.170354703,19887
540,0.0948961849376,0.17157308,20246
550,0.0887255568906,0.172793443,20611
560,0.090560757291,0.177554292,20975
570,0.0856238009134,0.182949468,21341
580,0.0847591066093,0.184240395,21712
590,0.0869524540768,0.185568084,22085
600,0.0828540280682,0.186880024,22456
610,0.0875655227888,0.18818419,22828
620,0.0854023477211,0.189472287,23193
630,0.0797234540929,0.196991285,23559
640,0.0826728233561,0.198325134,23922
