iterations,fitness,time,fevals
0,23.0,0.006557672,795
10,27.0,0.007387794,1506
20,28.0,0.008301541,2216
30,30.0,0.0089403,2913
40,29.0,0.009559547,3622
50,30.0,0.010141712,4308
60,29.0,0.010749077,5013
70,30.0,0.01140488,5724
80,30.0,0.014850099,6423
90,32.0,0.015469193,7117
100,32.0,0.016038931,7805
110,31.0,0.016592068,8504
120,32.0,0.017135249,9209
130,31.0,0.01767057,9911
140,32.0,0.018287737,10595
150,33.0,0.022284971,11288
160,31.0,0.02289968,11979
170,34.0,0.023499619,12685
180,33.0,0.024089697,13376
190,34.0,0.024663777,14086
200,32.0,0.025240786,14773
210,33.0,0.030579446,15469
220,35.0,0.031172103,16174
230,34.0,0.037713543,16876
240,34.0,0.038289052,17565
250,34.0,0.038820099,18267
260,35.0,0.039359814,18962
270,36.0,0.039909557,19663
280,36.0,0.040456317,20365
290,38.0,0.041039899,21072
300,39.0,0.041596339,21765
310,43.0,0.042192618,22469
320,43.0,0.042747181,23160
330,45.0,0.043315442,23844
340,45.0,0.043824593,24547
350,45.0,0.044321991,25260
360,53.0,0.044824283,25951
370,53.0,0.045338395,26654
380,53.0,0.047207582,27351
390,53.0,0.053363357,28062
400,53.0,0.053935643,28762
410,53.0,0.054548991,29447
420,54.0,0.055099179,30158
430,56.0,0.055603593,30876
440,54.0,0.056110497,31586
450,55.0,0.056646131,32281
460,56.0,0.061121493,32976
470,57.0,0.061744144,33669
480,57.0,0.062545502,34349
490,58.0,0.0633425,35042
500,57.0,0.063863397,35725
510,58.0,0.064355934,36440
520,58.0,0.064844821,37139
530,57.0,0.066752763,37826
540,57.0,0.068569406,38522
550,55.0,0.069103575,39221
560,56.0,0.0696217,39919
570,57.0,0.070134575,40611
580,55.0,0.070630343,41306
590,57.0,0.071145665,42007
600,57.0,0.071666697,42705
610,57.0,0.077985014,43409
620,57.0,0.078825627,44096
630,58.0,0.083404967,44791
640,58.0,0.083888187,45497
650,58.0,0.084376075,46212
660,58.0,0.084863122,46912
670,59.0,0.085355685,47617
680,59.0,0.087419638,48319
690,59.0,0.08794887,49020
700,60.0,0.088450549,49722
710,60.0,0.088961062,50420
720,61.0,0.089466064,51124
730,61.0,0.090027641,51812
740,61.0,0.090759335,52488
750,62.0,0.091306424,53187
760,62.0,0.093155405,53893
770,63.0,0.093662231,54587
780,63.0,0.094198607,55283
790,63.0,0.094712131,55993
800,62.0,0.095226219,56682
810,63.0,0.095753453,57387
820,64.0,0.096259897,58084
830,63.0,0.106276948,58784
840,63.0,0.106883344,59482
850,63.0,0.107374695,60167
860,63.0,0.107857545,60847
870,64.0,0.108468093,61530
880,64.0,0.109051177,62233
890,64.0,0.10961364,62934
900,65.0,0.111178,63626
910,63.0,0.113105289,64337
920,65.0,0.113690492,65038
930,63.0,0.114216069,65741
940,63.0,0.114714696,66439
950,63.0,0.115242811,67154
960,64.0,0.115743275,67849
970,64.0,0.116230714,68530
980,64.0,0.118028851,69225
990,62.0,0.118540985,69923
1000,64.0,0.119043895,70618
1010,65.0,0.119518358,71315
1020,66.0,0.119983904,72028
1030,63.0,0.120482847,72721
1040,64.0,0.120954338,73414
1050,65.0,0.121437246,74127
1060,65.0,0.12353313,74822
1070,63.0,0.12404087,75516
1080,65.0,0.124725927,76214
1090,65.0,0.125241843,76908
1100,64.0,0.12570159,77595
1110,64.0,0.126218765,78281
1120,64.0,0.126685773,78989
1130,67.0,0.128545196,79697
1140,66.0,0.129084208,80391
1150,67.0,0.129608291,81091
1160,64.0,0.130108344,81799
1170,67.0,0.130627907,82488
1180,65.0,0.131095874,83190
1190,65.0,0.131666324,83884
1200,64.0,0.13225597,84556
1210,64.0,0.134161426,85253
1220,63.0,0.134671335,85941
1230,65.0,0.135149324,86642
1240,64.0,0.135656118,87349
1250,64.0,0.13616241,88046
1260,64.0,0.136638761,88745
1270,65.0,0.137358775,89442
1280,65.0,0.137894005,90131
1290,68.0,0.138381599,90835
1300,64.0,0.138863509,91544
1310,65.0,0.139306293,92223
1320,65.0,0.13979235,92921
1330,66.0,0.140473783,93632
1340,64.0,0.141690321,94328
1350,63.0,0.142283816,95021
1360,63.0,0.144265217,95716
1370,63.0,0.144786561,96404
1380,64.0,0.145305748,97105
1390,63.0,0.145801153,97791
1400,64.0,0.14635514,98485
1410,66.0,0.146841977,99193
1420,65.0,0.14732042,99887
1430,64.0,0.148164149,100587
1440,64.0,0.156337314,101285
1450,64.0,0.156841511,101985
1460,64.0,0.157417485,102681
1470,66.0,0.157927134,103386
1480,66.0,0.158609951,104097
1490,67.0,0.159287672,104796
1500,65.0,0.159947999,105480
1510,67.0,0.164245454,106190
1520,65.0,0.164768315,106886
1530,64.0,0.165330809,107598
1540,64.0,0.165841031,108304
1550,64.0,0.166345261,109002
1560,65.0,0.166861213,109696
1570,67.0,0.167539101,110396
1580,70.0,0.168240593,111099
1590,65.0,0.183231216,111808
1600,69.0,0.183813795,112512
1610,71.0,0.184990651,113193
1620,72.0,0.185580143,113889
1630,72.0,0.186142513,114579
1640,70.0,0.186693453,115282
1650,65.0,0.187206061,115973
1660,67.0,0.189078912,116674
1670,67.0,0.189604243,117371
1680,67.0,0.190531525,118057
1690,70.0,0.191176259,118758
1700,70.0,0.191713858,119455
1710,71.0,0.192561087,120142
1720,70.0,0.193148122,120839
1730,71.0,0.197233142,121536
1740,71.0,0.199058805,122239
1750,71.0,0.199556087,122939
1760,74.0,0.204678857,123649
1770,72.0,0.2051581,124341
1780,71.0,0.205606109,125027
1790,72.0,0.206174649,125749
1800,71.0,0.206759832,126440
1810,71.0,0.208532348,127125
1820,73.0,0.208993611,127840
1830,72.0,0.209468312,128548
1840,74.0,0.210007589,129238
1850,74.0,0.210539474,129931
1860,74.0,0.211178946,130625
1870,77.0,0.21166673,131331
1880,75.0,0.212136566,132033
1890,75.0,0.218872676,132747
1900,76.0,0.219454144,133446
1910,75.0,0.219977677,134151
1920,75.0,0.220443109,134844
1930,75.0,0.220910984,135542
1940,75.0,0.221383604,136232
1950,75.0,0.221868588,136916
1960,74.0,0.223992123,137612
1970,75.0,0.22450493,138327
1980,75.0,0.225020726,139021
1990,75.0,0.225508089,139718
2000,74.0,0.226043425,140428
2010,75.0,0.226508865,141115
2020,75.0,0.226945658,141809
2030,76.0,0.227492338,142491
2040,74.0,0.233070655,143192
2050,75.0,0.233554169,143882
2060,76.0,0.234016391,144584
2070,76.0,0.234480068,145287
2080,77.0,0.234919919,145980
2090,77.0,0.235374406,146683
2100,78.0,0.235831137,147394
2110,77.0,0.237608655,148107
2120,78.0,0.238050916,148812
