iterations,fitness,time,fevals
0,12.0,7.8280000011e-06,11
10,12.0,2.68830000021e-05,21
20,12.0,4.70160000017e-05,31
30,13.0,5.56980000024e-05,41
40,14.0,6.2833000003e-05,51
50,11.0,7.07020000039e-05,61
60,14.0,7.91460000045e-05,71
70,15.0,8.5851000005e-05,81
80,13.0,9.32270000042e-05,91
90,14.0,0.000104914000003,101
100,12.0,0.000111090000003,111
110,12.0,0.000117808000004,121
120,12.0,0.000124853000004,131
130,14.0,0.000131444000004,141
140,13.0,0.000138489000005,151
150,11.0,0.000145789000005,161
160,12.0,0.000152737000006,171
170,13.0,0.000159415000006,181
180,14.0,0.000167464000006,191
190,16.0,0.000176546000006,201
200,11.0,0.000183677000006,211
210,18.0,0.000191485000006,221
220,14.0,0.000198355000006,231
230,15.0,0.000208053000007,241
240,15.0,0.000216388000007,251
250,12.0,0.000224175000008,261
260,18.0,0.000242537000009,271
270,13.0,0.000250031000009,281
280,10.0,0.000256703000009,291
290,10.0,0.000276370000009,301
300,16.0,0.000282260000009,311
310,13.0,0.000289506000009,321
320,13.0,0.000296436000008,331
330,12.0,0.000303069000008,341
340,12.0,0.000309369000007,351
350,12.0,0.000316573000008,361
360,11.0,0.000325584000008,371
370,11.0,0.000332643000007,381
380,13.0,0.000339232000007,391
390,14.0,0.000345333000007,401
400,15.0,0.000352440000007,411
410,14.0,0.000360299000008,421
420,14.0,0.000366076000008,431
430,14.0,0.000372790000007,441
440,12.0,0.000380421000006,451
450,16.0,0.000388821000005,461
460,16.0,0.000414678000004,471
470,16.0,0.000421536000005,481
480,16.0,0.000427476000004,491
490,16.0,0.000435211000003,501
500,16.0,0.000441968000002,511
510,17.0,0.000448851000003,521
520,17.0,0.000455520000003,531
530,20.0,0.000462825000001,541
540,20.0,0.000468810000001,551
550,20.0,0.000475862000002,561
560,21.0,0.000481496000003,571
570,23.0,0.000489444000003,581
580,24.0,0.000496777000002,591
590,24.0,0.000503261000002,601
600,24.0,0.000509145000002,611
610,24.0,0.000516814000003,621
620,24.0,0.000524052000003,631
630,25.0,0.000532870000002,641
640,25.0,0.000539145000003,651
650,25.0,0.000546195000004,661
660,25.0,0.000552250000004,671
670,26.0,0.000559651000005,681
680,28.0,0.000565667000004,691
690,28.0,0.000571840000003,701
700,28.0,0.000579766000001,711
710,28.0,0.000586692000001,721
720,28.0,0.000593526000001,731
730,28.0,0.000618817000001,741
740,29.0,0.000626477000001,751
750,29.0,0.000633944,761
760,29.0,0.000641128,771
770,29.0,0.000647390999999,781
780,30.0,0.000655261,791
790,30.0,0.000661872000002,801
800,30.0,0.000668153000001,811
810,30.0,0.000676581,821
820,30.0,0.000683296,831
830,30.0,0.000690766,841
840,30.0,0.000698212,851
850,30.0,0.00070564,861
860,30.0,0.000713227,871
870,30.0,0.000720912,881
880,30.0,0.000727328,891
890,30.0,0.000733786,901
900,30.0,0.000742101999998,911
910,33.0,0.000748947999998,921
920,34.0,0.000755461999999,931
930,34.0,0.000762047999999,941
940,34.0,0.000780720999998,951
950,35.0,0.000787642999999,961
960,35.0,0.000795446999998,971
970,35.0,0.000802371999999,981
980,35.0,0.000809098999998,991
990,35.0,0.000816850999998,1001
1000,35.0,0.000822654999997,1011
1010,36.0,0.000842969999997,1021
1020,36.0,0.000850566999997,1031
1030,36.0,0.000855844999997,1041
1040,36.0,0.000861149999997,1051
1050,37.0,0.000867041999996,1061
1060,37.0,0.000874269999995,1071
1070,37.0,0.000881451999996,1081
1080,37.0,0.000889572999997,1091
1090,37.0,0.000896555999997,1101
1100,37.0,0.000902699999997,1111
1110,37.0,0.000910538999998,1121
1120,37.0,0.000917875999997,1131
1130,37.0,0.000924935999997,1141
1140,38.0,0.000932318999997,1151
1150,39.0,0.000939650999998,1161
1160,39.0,0.000945762999997,1171
1170,39.0,0.000954621999998,1181
1180,41.0,0.000961572,1191
1190,41.0,0.000968364,1201
1200,42.0,0.000975233,1211
1210,42.0,0.000981980000001,1221
1220,42.0,0.000988920999999,1231
1230,42.0,0.000995531999999,1241
1240,42.0,0.00100153,1251
1250,42.0,0.001026831,1261
1260,42.0,0.001038409,1271
1270,46.0,0.001045677,1281
1280,46.0,0.001053608,1291
1290,46.0,0.001060626,1301
1300,47.0,0.001067131,1311
1310,49.0,0.001072751,1321
1320,49.0,0.001079353,1331
1330,51.0,0.001086253,1341
1340,51.0,0.001093457,1351
1350,51.0,0.001100126,1361
1360,51.0,0.001107568,1371
1370,51.0,0.001113674,1381
1380,51.0,0.001120913,1391
1390,51.0,0.001128269,1401
1400,51.0,0.001135109,1411
1410,51.0,0.001140995,1421
1420,51.0,0.001148093,1431
1430,51.0,0.001155141,1441
1440,51.0,0.001165072,1451
1450,51.0,0.00117162,1461
1460,51.0,0.001190036,1471
1470,51.0,0.001196634,1481
1480,51.0,0.001202754,1491
1490,51.0,0.001212672,1501
1500,51.0,0.001218822,1511
1510,51.0,0.001224982,1521
1520,51.0,0.001232118,1531
1530,51.0,0.001240045,1541
1540,51.0,0.00124728,1551
1550,51.0,0.001256612,1561
1560,51.0,0.001263768,1571
1570,51.0,0.001270336,1581
1580,51.0,0.001277071,1591
1590,52.0,0.001283815,1601
1600,52.0,0.001290112,1611
1610,54.0,0.001297515,1621
1620,54.0,0.001303397,1631
1630,54.0,0.001310622,1641
1640,54.0,0.001350704,1651
1650,54.0,0.001364113,1661
1660,54.0,0.001374385,1671
1670,54.0,0.001384258,1681
1680,55.0,0.001394087,1691
1690,56.0,0.001403656,1701
1700,56.0,0.001413171,1711
1710,56.0,0.00142597,1721
1720,56.0,0.001435736,1731
1730,56.0,0.001446087,1741
1740,56.0,0.001456674,1751
1750,56.0,0.001466537,1761
1760,56.0,0.001476602,1771
1770,56.0,0.001485464,1781
1780,56.0,0.001497015,1791
1790,56.0,0.00150665,1801
1800,56.0,0.001516062,1811
1810,56.0,0.001534477,1821
1820,56.0,0.001566163,1831
1830,56.0,0.001576084,1841
1840,57.0,0.001583316,1851
1850,57.0,0.001591482,1861
1860,57.0,0.00159798100001,1871
1870,57.0,0.00160396500001,1881
1880,57.0,0.00161099900001,1891
1890,57.0,0.00161931700001,1901
1900,57.0,0.00162615100001,1911
1910,57.0,0.00163348700001,1921
1920,58.0,0.001640424,1931
1930,58.0,0.001647315,1941
1940,58.0,0.001653768,1951
1950,58.0,0.001675086,1961
1960,58.0,0.001692876,1971
1970,58.0,0.001713217,1981
1980,58.0,0.001726393,1991
1990,58.0,0.001732161,2001
2000,58.0,0.00173833400001,2011
2010,58.0,0.00174600800001,2021
2020,58.0,0.00175286800001,2031
2030,58.0,0.00175889400001,2041
2040,59.0,0.001766681,2051
2050,59.0,0.001774235,2061
2060,60.0,0.001781352,2071
2070,61.0,0.001788257,2081
2080,61.0,0.00180682,2091
2090,61.0,0.001814275,2101
2100,61.0,0.001820852,2111
2110,62.0,0.001828204,2121
2120,62.0,0.001834665,2131
2130,62.0,0.001842549,2141
2140,62.0,0.001849837,2151
2150,62.0,0.001856584,2161
2160,63.0,0.001866593,2171
2170,63.0,0.001886269,2181
2180,63.0,0.001893561,2191
2190,63.0,0.001899761,2201
2200,63.0,0.001907115,2211
2210,63.0,0.001914673,2221
2220,63.0,0.001922563,2231
2230,63.0,0.0019377,2241
2240,64.0,0.00194612300001,2251
2250,64.0,0.00195233200001,2261
2260,64.0,0.001961741,2271
2270,64.0,0.001969238,2281
2280,64.0,0.001987855,2291
2290,64.0,0.00199469400001,2301
2300,64.0,0.00201369200001,2311
2310,64.0,0.00201990300001,2321
2320,64.0,0.00202610500001,2331
2330,65.0,0.00203282200001,2341
2340,65.0,0.00203897700001,2351
2350,65.0,0.00205172300001,2361
2360,65.0,0.00205825500001,2371
2370,65.0,0.00206476500001,2381
2380,65.0,0.00207188600001,2391
2390,65.0,0.00207866200001,2401
2400,65.0,0.00209282900001,2411
2410,65.0,0.00209937200001,2421
2420,65.0,0.00211137500001,2431
2430,65.0,0.00211865100001,2441
2440,65.0,0.00213226900001,2451
2450,65.0,0.00213934900001,2461
2460,66.0,0.00214563100001,2471
2470,66.0,0.00218015200001,2481
2480,66.0,0.00218815000001,2491
2490,66.0,0.00219472200001,2501
2500,66.0,0.00220151500001,2511
2510,66.0,0.00220785000001,2521
2520,66.0,0.00221548700001,2531
2530,66.0,0.00222340900001,2541
2540,66.0,0.00222947600001,2551
2550,66.0,0.00223586000001,2561
2560,66.0,0.00224261500001,2571
2570,66.0,0.00224900000001,2581
2580,66.0,0.00225572200001,2591
2590,66.0,0.00226283400001,2601
2600,66.0,0.00228060600001,2611
2610,66.0,0.00228787800001,2621
2620,66.0,0.00229600700001,2631
2630,66.0,0.00230242000001,2641
2640,66.0,0.00230941300001,2651
2650,66.0,0.00231663900001,2661
2660,66.0,0.00232380000001,2671
2670,66.0,0.00233151500001,2681
2680,66.0,0.00233829100002,2691
2690,66.0,0.00234562200002,2701
2700,66.0,0.00235142400002,2711
2710,66.0,0.00235812100002,2721
2720,66.0,0.00236362300002,2731
2730,66.0,0.00236997100002,2741
2740,66.0,0.00237694100002,2751
2750,66.0,0.00238457400002,2761
2760,66.0,0.00239180100002,2771
2770,66.0,0.00239829300002,2781
2780,66.0,0.00240506300002,2791
2790,66.0,0.00241153800002,2801
2800,66.0,0.00241958400002,2811
2810,66.0,0.00243932600002,2821
2820,66.0,0.00244626200002,2831
