iterations,fitness,time,fevals
0,20.0,0.004585936,291
10,22.0,0.006329336,480
20,22.0,0.006655907,662
30,24.0,0.006918255,848
40,23.0,0.007205864,1032
50,23.0,0.007473766,1220
60,26.0,0.00775381899999,1407
70,26.0,0.00799741899999,1597
80,26.0,0.013648002,1786
90,26.0,0.013902923,1967
100,26.0,0.014173416,2155
110,26.0,0.014411783,2341
120,26.0,0.014701476,2530
130,27.0,0.015154979,2717
140,27.0,0.015524264,2907
150,27.0,0.015835032,3095
160,27.0,0.019322424,3283
170,27.0,0.019572043,3469
180,27.0,0.01982298,3659
190,28.0,0.020065671,3849
200,27.0,0.020283896,4030
210,29.0,0.020502629,4216
220,31.0,0.020752411,4404
230,29.0,0.020980699,4592
240,29.0,0.022568588,4776
250,30.0,0.022908788,4963
260,31.0,0.023183901,5153
270,31.0,0.02342768,5339
280,31.0,0.023659273,5531
290,33.0,0.023914568,5723
300,34.0,0.024162492,5907
310,33.0,0.029863265,6097
320,33.0,0.030108826,6285
330,33.0,0.030328077,6469
340,33.0,0.030552497,6654
350,33.0,0.030798986,6841
360,33.0,0.031075234,7025
370,33.0,0.031367993,7211
380,33.0,0.031661033,7397
390,33.0,0.037604149,7577
400,33.0,0.03784996,7761
410,33.0,0.038083855,7943
420,34.0,0.038302867,8130
430,34.0,0.038550067,8318
440,34.0,0.038766866,8497
450,34.0,0.038999285,8685
460,34.0,0.039218774,8875
470,33.0,0.04950624,9058
480,34.0,0.049827901,9246
490,33.0,0.050097894,9433
500,33.0,0.050316612,9617
510,33.0,0.05057017,9805
520,35.0,0.050806559,9996
530,33.0,0.05139509,10183
540,33.0,0.060793461,10365
550,33.0,0.061156603,10558
560,33.0,0.061410396,10746
570,34.0,0.061643048,10933
580,34.0,0.061879684,11122
590,34.0,0.062101389,11304
600,34.0,0.062333931,11490
610,35.0,0.062569025,11677
620,34.0,0.068673809,11863
630,34.0,0.068902966,12050
640,36.0,0.069132662,12235
650,36.0,0.069349868,12424
660,36.0,0.06957704,12605
670,36.0,0.069794674,12790
680,36.0,0.070015425,12976
690,36.0,0.070254375,13165
700,36.0,0.076194938,13349
710,36.0,0.07644167,13537
720,37.0,0.076675378,13722
730,37.0,0.076896478,13909
740,36.0,0.077136484,14100
750,37.0,0.07737233,14284
760,38.0,0.077603854,14475
770,38.0,0.083533144,14662
780,38.0,0.08379145,14845
790,37.0,0.084104855,15023
800,37.0,0.084415833,15216
810,37.0,0.084678743,15406
820,37.0,0.084921767,15592
830,37.0,0.085165221,15780
840,38.0,0.085538324,15961
850,38.0,0.08917576,16145
860,38.0,0.089431886,16333
870,39.0,0.089671204,16514
880,39.0,0.08990133,16703
890,39.0,0.090117361,16890
900,38.0,0.09036127,17079
910,38.0,0.090586491,17267
920,39.0,0.090819333,17456
930,39.0,0.092975342,17643
940,39.0,0.093244291,17824
950,39.0,0.093479474,18006
960,39.0,0.093706683,18192
970,40.0,0.093941318,18375
980,39.0,0.094159026,18563
990,39.0,0.094386603,18747
1000,38.0,0.095978536,18935
1010,38.0,0.09627862,19122
1020,40.0,0.096503389,19307
1030,39.0,0.096812907,19493
1040,39.0,0.097068415,19681
1050,39.0,0.097322574,19867
1060,39.0,0.097642617,20053
1070,40.0,0.097896508,20234
1080,39.0,0.100672839,20418
1090,39.0,0.102101739,20604
1100,39.0,0.102582686,20796
1110,40.0,0.102946047,20985
1120,39.0,0.103203805,21171
1130,39.0,0.103580591,21348
1140,39.0,0.103828378,21535
1150,40.0,0.104049992,21724
1160,39.0,0.105642045,21908
1170,39.0,0.106063733,22094
1180,40.0,0.106373314,22275
1190,40.0,0.106599056,22461
1200,40.0,0.107001778,22645
