iterations,fitness,time,fevals
0,24.0,0.000602678,568
10,24.0,0.001061778,1027
20,24.0,0.001514287,1496
30,23.0,0.001949346,1943
40,29.0,0.00791478600001,2402
50,31.0,0.00832768000001,2859
60,31.0,0.00870011900001,3313
70,33.0,0.00907369300001,3770
80,34.0,0.00943392700001,4226
90,35.0,0.00980078200001,4676
100,35.0,0.010172778,5129
110,38.0,0.010541071,5583
120,36.0,0.012359126,6029
130,37.0,0.012788167,6486
140,38.0,0.013155314,6939
150,40.0,0.013537874,7390
160,41.0,0.013881509,7844
170,44.0,0.014239624,8296
180,41.0,0.014616384,8757
190,41.0,0.014972476,9219
200,44.0,0.016738975,9661
210,41.0,0.017110634,10108
220,42.0,0.017451294,10568
230,40.0,0.017799263,11026
240,42.0,0.018146584,11480
250,42.0,0.01857481,11947
260,43.0,0.018996322,12399
270,44.0,0.025059091,12869
280,46.0,0.025429795,13323
290,48.0,0.025780683,13783
300,48.0,0.026133873,14239
310,46.0,0.026515505,14713
320,43.0,0.02689298,15174
330,44.0,0.027259919,15630
340,43.0,0.02763211,16083
350,45.0,0.029354423,16530
360,46.0,0.029757719,16993
370,46.0,0.030116298,17449
380,47.0,0.030450496,17904
390,48.0,0.030794225,18356
400,49.0,0.031145767,18828
410,49.0,0.031494517,19282
420,50.0,0.031848284,19738
430,50.0,0.04160854,20193
440,49.0,0.04197614,20652
450,50.0,0.04231462,21104
460,50.0,0.042655047,21562
470,50.0,0.043003165,22009
480,49.0,0.043354295,22448
490,50.0,0.043716101,22906
500,51.0,0.048129946,23371
510,51.0,0.04939039,23818
520,51.0,0.049785979,24266
530,51.0,0.050145506,24713
540,51.0,0.050487768,25170
550,52.0,0.050858551,25630
560,52.0,0.055344279,26090
570,51.0,0.055808575,26555
580,53.0,0.0575413,27018
590,52.0,0.057918851,27485
600,52.0,0.058261382,27944
610,53.0,0.058607186,28402
620,53.0,0.058957084,28857
630,55.0,0.059500997,29320
640,55.0,0.059905237,29770
650,56.0,0.060350657,30228
660,58.0,0.060685826,30676
670,57.0,0.061038885,31135
680,58.0,0.061361306,31596
690,58.0,0.06170354,32051
700,57.0,0.062030994,32508
710,57.0,0.062369183,32956
720,57.0,0.062683996,33424
730,58.0,0.068562977,33879
740,57.0,0.068899669,34339
