iterations,fitness,time,fevals
0,22.0,0.000459433000003,428
10,24.0,0.000856243000001,771
20,24.0,0.001178716,1107
30,24.0,0.004443936,1435
40,24.0,0.004763734,1764
50,24.0,0.005057732,2099
60,24.0,0.005365159,2425
70,24.0,0.005677038,2762
80,24.0,0.005991727,3082
90,24.0,0.006299141,3419
100,24.0,0.006618515,3745
110,24.0,0.012479744,4073
120,25.0,0.012813846,4403
130,26.0,0.013134411,4740
140,25.0,0.01343734,5073
150,27.0,0.013714851,5394
160,27.0,0.014021247,5727
170,29.0,0.014349746,6056
180,29.0,0.014714152,6382
190,30.0,0.023407263,6726
200,30.0,0.023748169,7054
210,30.0,0.024052287,7391
220,31.0,0.024339102,7722
230,31.0,0.024618289,8051
240,32.0,0.024926669,8382
250,40.0,0.025242959,8719
260,42.0,0.029303458,9063
270,44.0,0.029590518,9395
280,45.0,0.029891616,9724
290,48.0,0.030193867,10052
300,49.0,0.030487359,10378
310,49.0,0.030788716,10708
320,48.0,0.031063647,11047
330,49.0,0.031329724,11371
340,49.0,0.032939088,11706
350,48.0,0.033223321,12031
360,49.0,0.033498586,12368
370,48.0,0.033782997,12705
380,48.0,0.034086086,13034
390,48.0,0.034361011,13365
400,48.0,0.034679205,13706
410,48.0,0.034973179,14045
420,49.0,0.043087046,14373
430,50.0,0.043375765,14703
440,50.0,0.043667124,15040
450,50.0,0.044007198,15374
460,51.0,0.044302899,15701
470,51.0,0.044584262,16033
480,52.0,0.044875024,16372
490,50.0,0.051687433,16705
500,50.0,0.052105688,17034
510,51.0,0.052466079,17367
520,50.0,0.052849576,17694
530,51.0,0.053208645,18034
540,51.0,0.05355022,18366
550,52.0,0.053919566,18708
560,52.0,0.055204319,19047
570,52.0,0.06102699,19373
580,52.0,0.061489392,19707
590,52.0,0.061820229,20037
600,51.0,0.062106667,20377
610,52.0,0.062441519,20706
620,52.0,0.062744362,21032
630,51.0,0.063023569,21363
640,51.0,0.063309669,21699
650,52.0,0.064952147,22033
660,53.0,0.065244551,22372
670,51.0,0.065536265,22707
680,52.0,0.065894646,23047
690,53.0,0.066234095,23374
700,53.0,0.066523073,23710
710,52.0,0.066808914,24039
720,52.0,0.068461265,24356
730,53.0,0.06877155,24691
740,52.0,0.069050061,25021
750,52.0,0.069351161,25358
760,54.0,0.069640564,25687
770,52.0,0.069933163,26022
780,51.0,0.070236851,26357
790,51.0,0.070516498,26699
800,51.0,0.07217936,27033
810,51.0,0.072511893,27373
820,51.0,0.07283279,27707
830,52.0,0.073112781,28040
840,54.0,0.073530229,28372
850,54.0,0.073852839,28689
860,54.0,0.074187927,29026
870,54.0,0.07450761,29365
880,54.0,0.0763485,29700
890,54.0,0.076658993,30035
900,53.0,0.076936208,30371
910,54.0,0.07724656,30707
920,55.0,0.077542614,31040
930,55.0,0.0778394,31375
940,56.0,0.078115173,31707
950,55.0,0.083968764,32033
960,55.0,0.084271878,32376
970,55.0,0.08454905,32708
980,55.0,0.084850978,33048
990,55.0,0.085146159,33382
1000,55.0,0.085433293,33716
1010,55.0,0.085732707,34037
1020,55.0,0.086031065,34376
1030,55.0,0.087716558,34710
1040,54.0,0.088109724,35042
1050,55.0,0.088516248,35380
1060,55.0,0.089073942,35701
1070,55.0,0.08942171,36030
1080,55.0,0.089716064,36367
1090,55.0,0.089992707,36705
1100,56.0,0.090561177,37044
1110,57.0,0.09270105,37384
1120,56.0,0.093022069,37719
1130,57.0,0.094803561,38055
1140,55.0,0.095151576,38377
1150,56.0,0.095435931,38707
1160,56.0,0.095723371,39048
1170,55.0,0.096011883,39389
1180,55.0,0.097622895,39730
1190,55.0,0.097894379,40056
1200,55.0,0.098181419,40397
1210,56.0,0.098464901,40725
1220,56.0,0.102833031,41062
1230,56.0,0.103116516,41401
1240,57.0,0.103391103,41727
