iterations,fitness,time,fevals
0,22.0,0.000549461000006,466
10,23.0,0.001053036,833
20,32.0,0.001454095,1197
30,33.0,0.003569028,1567
40,36.0,0.003938363,1934
50,36.0,0.004332871,2299
60,36.0,0.00472831099999,2669
70,36.0,0.00514162799999,3036
80,36.0,0.00557247899999,3401
90,36.0,0.00611232399999,3761
100,36.0,0.006475859,4132
110,36.0,0.01110553,4492
120,36.0,0.011419811,4858
130,36.0,0.011708777,5226
140,37.0,0.012032779,5592
150,37.0,0.012341093,5957
160,37.0,0.012657954,6322
170,37.0,0.012976961,6690
180,37.0,0.013300389,7060
190,38.0,0.015115949,7428
200,39.0,0.015448985,7791
210,39.0,0.015750445,8161
220,38.0,0.016073124,8536
230,38.0,0.016384097,8899
240,38.0,0.0166995,9264
250,37.0,0.016991947,9628
260,38.0,0.02351892,10000
270,37.0,0.02384601,10368
280,38.0,0.024162593,10741
290,38.0,0.024481183,11112
300,38.0,0.024838857,11474
310,37.0,0.025166338,11841
320,37.0,0.025468357,12211
330,37.0,0.025779672,12571
340,36.0,0.027457672,12937
350,37.0,0.027769904,13304
360,36.0,0.028117015,13669
370,36.0,0.028447614,14038
380,36.0,0.028743176,14406
390,36.0,0.029070591,14778
400,36.0,0.02937413,15143
410,36.0,0.029688539,15515
420,36.0,0.029990174,15883
430,36.0,0.030298737,16247
440,36.0,0.030601687,16618
450,36.0,0.03089466,16987
460,36.0,0.031238306,17355
470,36.0,0.031562829,17723
480,37.0,0.031876797,18094
490,37.0,0.038670136,18456
500,36.0,0.038982573,18822
510,37.0,0.039277298,19188
520,37.0,0.039575955,19553
530,37.0,0.039865983,19917
540,37.0,0.040172832,20283
550,38.0,0.040620309,20652
560,40.0,0.041193073,21014
570,38.0,0.042975431,21377
580,39.0,0.043274315,21740
590,39.0,0.043813362,22107
600,38.0,0.044249299,22474
610,38.0,0.044584884,22841
620,40.0,0.044894606,23205
630,41.0,0.045177433,23572
640,43.0,0.046843912,23943
650,42.0,0.047170052,24310
660,42.0,0.047501674,24672
670,43.0,0.047793782,25035
680,43.0,0.048134469,25397
690,43.0,0.048449318,25766
700,43.0,0.048745039,26130
710,43.0,0.04904306,26500
720,42.0,0.050687084,26867
730,43.0,0.050985341,27228
740,43.0,0.051297538,27592
750,43.0,0.051599159,27963
760,43.0,0.051892857,28332
770,44.0,0.052184562,28701
780,44.0,0.052485308,29068
790,43.0,0.052829163,29431
800,44.0,0.054466146,29805
810,43.0,0.054808871,30173
820,43.0,0.055131827,30538
830,44.0,0.05542748,30908
840,42.0,0.055743778,31266
850,42.0,0.056055719,31634
860,42.0,0.056356713,32002
870,43.0,0.058062111,32373
880,43.0,0.058410163,32749
890,43.0,0.058701053,33113
900,43.0,0.059001623,33475
910,42.0,0.059308804,33845
920,42.0,0.059621922,34208
930,43.0,0.059997933,34579
940,43.0,0.060571378,34947
950,43.0,0.066804039,35315
960,43.0,0.06711265,35691
970,45.0,0.067436687,36059
980,44.0,0.067726071,36427
990,44.0,0.068028354,36787
1000,46.0,0.072398039,37154
1010,46.0,0.072728494,37520
1020,46.0,0.074374435,37882
1030,45.0,0.074665924,38253
1040,45.0,0.075107256,38623
1050,47.0,0.075391889,38986
1060,48.0,0.075726633,39353
1070,48.0,0.076073332,39720
1080,48.0,0.076379368,40091
1090,48.0,0.076675654,40464
1100,47.0,0.078400178,40834
1110,47.0,0.078709749,41199
1120,48.0,0.079233023,41570
1130,48.0,0.079919696,41935
1140,48.0,0.080384618,42309
1150,48.0,0.080696214,42677
1160,48.0,0.080996764,43036
1170,48.0,0.081304483,43406
1180,48.0,0.086931805,43768
1190,48.0,0.094498247,44137
1200,48.0,0.09480083,44498
1210,48.0,0.095127611,44869
1220,48.0,0.095444362,45229
1230,48.0,0.095762248,45593
1240,49.0,0.096131482,45958
1250,48.0,0.097907691,46327
1260,48.0,0.098253886,46698
1270,48.0,0.098547494,47060
1280,48.0,0.100135758,47427
1290,48.0,0.100494978,47793
1300,49.0,0.100856341,48149
1310,48.0,0.101208851,48508
1320,48.0,0.101541536,48870
1330,48.0,0.103340666,49239
1340,48.0,0.103743117,49615
1350,49.0,0.104076897,49983
1360,50.0,0.104439867,50346
1370,49.0,0.104773532,50715
1380,49.0,0.105087276,51083
1390,49.0,0.105390713,51450
1400,49.0,0.11197721,51814
1410,49.0,0.112312876,52178
1420,50.0,0.112637336,52546
1430,50.0,0.112965963,52915
1440,50.0,0.113330658,53277
1450,52.0,0.113627466,53643
1460,51.0,0.113977721,54013
1470,51.0,0.114328429,54373
1480,51.0,0.119428329,54740
1490,52.0,0.11978683,55111
1500,51.0,0.120162071,55478
1510,52.0,0.120521489,55844
1520,52.0,0.120862752,56217
1530,52.0,0.12120299,56588
1540,52.0,0.12149407,56953
1550,53.0,0.12178599,57321
1560,53.0,0.128174644,57686
1570,53.0,0.128496792,58052
1580,53.0,0.12878671,58415
1590,54.0,0.129075704,58785
1600,54.0,0.12941432,59154
1610,54.0,0.129728553,59516
1620,54.0,0.130062292,59877
1630,54.0,0.137065369,60241
1640,54.0,0.137376058,60608
1650,54.0,0.137695466,60979
1660,54.0,0.138164313,61338
1670,54.0,0.138516095,61708
1680,55.0,0.138807007,62073
1690,55.0,0.139099644,62439
1700,54.0,0.139631486,62808
1710,54.0,0.150835119,63173
1720,54.0,0.151162039,63543
1730,54.0,0.151435449,63909
1740,54.0,0.151714462,64276
1750,54.0,0.152023735,64641
1760,54.0,0.15233653,65012
1770,55.0,0.152629141,65378
1780,55.0,0.158760422,65745
1790,55.0,0.159249224,66107
1800,55.0,0.159767056,66479
1810,54.0,0.160113287,66853
1820,55.0,0.160444595,67224
1830,54.0,0.160829311,67598
1840,54.0,0.161187917,67962
1850,55.0,0.16151909,68337
1860,55.0,0.163236046,68703
1870,55.0,0.163627016,69059
1880,55.0,0.164100859,69432
1890,55.0,0.164419485,69796
1900,55.0,0.164765472,70164
1910,55.0,0.165075611,70532
1920,55.0,0.16540139,70893
1930,54.0,0.165758114,71262
