iterations,fitness,time,fevals
0,491.0,4.15919999996e-05,11
10,489.0,6.75440000002e-05,21
20,489.0,9.25489999997e-05,31
30,493.0,0.000109911999999,41
40,495.0,0.000129107999999,51
50,499.0,0.000149489999999,61
60,501.0,0.000169065999999,71
70,503.0,0.000189332999999,81
80,505.0,0.000206443999999,91
90,507.0,0.000227243999999,101
100,509.0,0.000247160999998,111
110,509.0,0.002496713,121
120,513.0,0.002524363,131
130,513.0,0.00256527,141
140,515.0,0.00259178,151
150,517.0,0.002609696,161
160,519.0,0.002629451,171
170,519.0,0.002648914,181
180,523.0,0.002667026,191
190,523.0,0.002687851,201
200,527.0,0.002714086,211
210,529.0,0.002737199,221
220,531.0,0.002756668,231
230,533.0,0.002772982,241
240,535.0,0.002796749,251
250,537.0,0.002814978,261
260,541.0,0.002833995,271
270,549.0,0.00285227399999,281
280,553.0,0.00289179999999,291
290,553.0,0.00291772799999,301
300,553.0,0.00293614999999,311
310,555.0,0.00295741799999,321
320,557.0,0.00297598499999,331
330,567.0,0.00299364499999,341
340,567.0,0.003034859,351
350,571.0,0.003051906,361
360,573.0,0.003069536,371
370,575.0,0.003088359,381
380,575.0,0.003105566,391
390,577.0,0.003137796,401
400,581.0,0.003155591,411
410,581.0,0.003173901,421
420,583.0,0.003194594,431
430,585.0,0.003211831,441
440,587.0,0.003232738,451
450,587.0,0.003267406,461
460,587.0,0.00329448,471
470,587.0,0.00331381,481
480,591.0,0.003332235,491
490,593.0,0.003354476,501
500,593.0,0.003372728,511
510,595.0,0.00339205,521
520,599.0,0.00341246399999,531
530,605.0,0.003430394,541
540,607.0,0.003451491,551
550,609.0,0.00346903599999,561
560,609.0,0.003488049,571
570,609.0,0.003506945,581
580,613.0,0.003524249,591
590,615.0,0.003587996,601
600,615.0,0.003613754,611
610,615.0,0.003635108,621
620,615.0,0.003659889,631
630,619.0,0.003678977,641
640,623.0,0.003705509,651
650,625.0,0.003726918,661
660,627.0,0.003751986,671
670,627.0,0.003777152,681
680,627.0,0.003807969,691
690,633.0,0.003834821,701
700,635.0,0.003853097,711
710,635.0,0.003873179,721
720,637.0,0.003892931,731
730,637.0,0.003945373,741
740,637.0,0.014354032,751
750,637.0,0.014413627,761
760,637.0,0.014444249,771
770,637.0,0.014475134,781
780,639.0,0.014501653,791
790,641.0,0.014526747,801
800,645.0,0.014556202,811
810,645.0,0.014582529,821
820,649.0,0.014611043,831
830,649.0,0.014650014,841
840,649.0,0.014683255,851
850,649.0,0.014708699,861
860,651.0,0.014738077,871
870,653.0,0.014767193,881
880,655.0,0.01479118,891
890,655.0,0.014834456,901
900,655.0,0.014859492,911
910,655.0,0.014887114,921
920,657.0,0.014911405,931
930,657.0,0.014939685,941
940,657.0,0.01496487,951
950,661.0,0.014988809,961
960,661.0,0.015015972,971
970,661.0,0.015041538,981
980,661.0,0.015069996,991
990,661.0,0.01509552,1001
1000,663.0,0.015123786,1011
1010,663.0,0.015148489,1021
1020,665.0,0.015176298,1031
1030,665.0,0.015202052,1041
1040,667.0,0.015228568,1051
1050,667.0,0.015256187,1061
1060,667.0,0.015281294,1071
1070,669.0,0.015309031,1081
1080,669.0,0.015334595,1091
1090,671.0,0.01536843,1101
1100,673.0,0.015394063,1111
1110,673.0,0.01542473,1121
1120,675.0,0.01546886,1131
1130,675.0,0.015502169,1141
1140,675.0,0.01553123,1151
1150,675.0,0.015561355,1161
1160,677.0,0.015591112,1171
1170,677.0,0.015616724,1181
1180,677.0,0.015683626,1191
1190,677.0,0.015717099,1201
1200,677.0,0.015748016,1211
1210,677.0,0.01577397,1221
1220,677.0,0.015801196,1231
1230,677.0,0.01582878,1241
1240,679.0,0.015853507,1251
1250,681.0,0.015881479,1261
1260,681.0,0.015907174,1271
1270,681.0,0.01593584,1281
1280,683.0,0.01596037,1291
1290,685.0,0.015998761,1301
1300,685.0,0.016024391,1311
1310,685.0,0.01605159,1321
1320,687.0,0.016078183,1331
1330,687.0,0.016103849,1341
1340,687.0,0.016133705,1351
1350,687.0,0.016171578,1361
1360,687.0,0.016206472,1371
1370,689.0,0.017686116,1381
1380,689.0,0.017780027,1391
1390,691.0,0.01780537,1401
1400,695.0,0.017852071,1411
1410,695.0,0.01787928,1421
1420,695.0,0.017909157,1431
1430,697.0,0.01796013,1441
1440,701.0,0.01798961,1451
1450,701.0,0.018015223,1461
1460,701.0,0.018042326,1471
1470,701.0,0.018072485,1481
1480,701.0,0.018116192,1491
1490,701.0,0.018150209,1501
1500,701.0,0.018193705,1511
1510,701.0,0.018226256,1521
1520,703.0,0.018252247,1531
1530,703.0,0.018279244,1541
1540,705.0,0.018306606,1551
1550,705.0,0.018332109,1561
1560,705.0,0.018373254,1571
1570,707.0,0.018400209,1581
1580,707.0,0.018429001,1591
1590,707.0,0.018453336,1601
1600,707.0,0.018480413,1611
1610,707.0,0.018508174,1621
1620,707.0,0.018533843,1631
1630,707.0,0.018563087,1641
1640,707.0,0.018588129,1651
1650,707.0,0.018631685,1661
1660,707.0,0.018657131,1671
1670,709.0,0.01868312,1681
1680,709.0,0.018710345,1691
1690,711.0,0.018734831,1701
1700,713.0,0.018763946,1711
1710,713.0,0.018789251,1721
1720,715.0,0.018818063,1731
1730,717.0,0.01884188,1741
1740,717.0,0.018869533,1751
1750,717.0,0.018897188,1761
1760,717.0,0.018922608,1771
1770,717.0,0.018952771,1781
1780,717.0,0.018978334,1791
1790,717.0,0.019008925,1801
1800,719.0,0.019033946,1811
1810,719.0,0.01906096,1821
1820,723.0,0.019087153,1831
1830,723.0,0.019114356,1841
