Cluster;2;20;200;1000
k-mean score train 1;-1320890.194820749;-741525.812386415;-395053.417257127;-114966.588475915
k-mean score test 1;-337089.929050893;-200894.408849541;-155191.711355418;-152619.038365158
gmm score train 1;238.454208316;3772.163893128;4535.786224361;4656.668545319
gmm score test 1;-73292.044583095;-42734916.008303590;-103118524.873222366;-139474465.219226509
k-mean score train 2;-833471.415647653;-680318.276422460;-344560.087212989;-54568.507475336
k-mean score test 2;-195681.423091306;-170476.886798610;-154004.778030298;-127578.306854058
gmm score train 2;115.036316811;293.664935959;392.191372021;747.698042213
gmm score test 2;48.597870924;47.344480354;-738.186673266;-28600.320666057
